11788 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50435-1461662383360-0:1) is shutdown
1446 [main] INFO  org.apache.activemq.broker.BrokerService [] - Using Persistence Adapter: KahaDBPersistenceAdapter[F:\WDSR\exercise4\activemq-data\localhost\KahaDB]
1507 [JMX connector] INFO  org.apache.activemq.broker.jmx.ManagementContext [] - JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi
1667 [main] INFO  org.apache.activemq.store.kahadb.MessageDatabase [] - KahaDB is version 6
1684 [main] INFO  org.apache.activemq.store.kahadb.MessageDatabase [] - Recovering from the journal @1:2765
1684 [main] INFO  org.apache.activemq.store.kahadb.MessageDatabase [] - Recovery replayed 2 operations from the journal in 0.008 seconds.
1692 [main] INFO  org.apache.activemq.store.kahadb.plist.PListStoreImpl [] - PListStore:[F:\WDSR\exercise4\activemq-data\localhost\tmp_storage] started
1867 [main] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50489-1461662456365-0:1) is starting
1942 [main] INFO  org.apache.activemq.transport.TransportServerThreadSupport [] - Listening for connections at: tcp://127.0.0.1:62616?deleteAllMessagesOnStartup=true
1942 [main] INFO  org.apache.activemq.broker.TransportConnector [] - Connector tcp://localhost:62616?deleteAllMessagesOnStartup=true started
1943 [main] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50489-1461662456365-0:1) started
1943 [main] INFO  org.apache.activemq.broker.BrokerService [] - For help or more information please see: http://activemq.apache.org
1958 [main] WARN  org.apache.activemq.broker.BrokerService [] - Store limit is 102400 mb (current store usage is 0 mb). The data directory: F:\WDSR\exercise4\activemq-data\localhost\KahaDB only has 8685 mb of usable space. - resetting to maximum available disk space: 8685 mb
1968 [main] WARN  org.apache.activemq.broker.BrokerService [] - Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: F:\WDSR\exercise4\activemq-data\localhost only has 8685 mb of usable space. - resetting to maximum available disk space: 8685 mb
11208 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50489-1461662456365-0:1) is shutting down
11234 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.TransportConnector [] - Connector tcp://localhost:62616?deleteAllMessagesOnStartup=true stopped
11240 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.plist.PListStoreImpl [] - PListStore:[F:\WDSR\exercise4\activemq-data\localhost\tmp_storage] stopped
11241 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.KahaDBStore [] - Stopping async queue tasks
11241 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.KahaDBStore [] - Stopping async topic tasks
11241 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.KahaDBStore [] - Stopped KahaDB
11714 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50489-1461662456365-0:1) uptime 10.421 seconds
11715 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50489-1461662456365-0:1) is shutdown
1343 [main] INFO  org.apache.activemq.broker.BrokerService [] - Using Persistence Adapter: KahaDBPersistenceAdapter[F:\WDSR\exercise4\activemq-data\localhost\KahaDB]
1394 [JMX connector] INFO  org.apache.activemq.broker.jmx.ManagementContext [] - JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi
1754 [main] INFO  org.apache.activemq.store.kahadb.MessageDatabase [] - KahaDB is version 6
1800 [main] INFO  org.apache.activemq.store.kahadb.MessageDatabase [] - Recovering from the journal @1:3479
1800 [main] INFO  org.apache.activemq.store.kahadb.MessageDatabase [] - Recovery replayed 2 operations from the journal in 0.015 seconds.
1816 [main] INFO  org.apache.activemq.store.kahadb.plist.PListStoreImpl [] - PListStore:[F:\WDSR\exercise4\activemq-data\localhost\tmp_storage] started
1988 [main] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50506-1461662564158-0:1) is starting
2097 [main] INFO  org.apache.activemq.transport.TransportServerThreadSupport [] - Listening for connections at: tcp://127.0.0.1:62616?deleteAllMessagesOnStartup=true
2097 [main] INFO  org.apache.activemq.broker.TransportConnector [] - Connector tcp://localhost:62616?deleteAllMessagesOnStartup=true started
2097 [main] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50506-1461662564158-0:1) started
2097 [main] INFO  org.apache.activemq.broker.BrokerService [] - For help or more information please see: http://activemq.apache.org
2113 [main] WARN  org.apache.activemq.broker.BrokerService [] - Store limit is 102400 mb (current store usage is 0 mb). The data directory: F:\WDSR\exercise4\activemq-data\localhost\KahaDB only has 8684 mb of usable space. - resetting to maximum available disk space: 8684 mb
2129 [main] WARN  org.apache.activemq.broker.BrokerService [] - Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: F:\WDSR\exercise4\activemq-data\localhost only has 8684 mb of usable space. - resetting to maximum available disk space: 8684 mb
2323 [main] INFO  org.apache.activemq.broker.TransportConnector [] - Connector vm://localhost started
2370 [main] INFO  org.apache.activemq.broker.TransportConnector [] - Connector vm://localhost stopped
11413 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50506-1461662564158-0:1) is shutting down
11438 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.TransportConnector [] - Connector tcp://localhost:62616?deleteAllMessagesOnStartup=true stopped
11454 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.plist.PListStoreImpl [] - PListStore:[F:\WDSR\exercise4\activemq-data\localhost\tmp_storage] stopped
11454 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.KahaDBStore [] - Stopping async queue tasks
11454 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.KahaDBStore [] - Stopping async topic tasks
11454 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.store.kahadb.KahaDBStore [] - Stopped KahaDB
11923 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50506-1461662564158-0:1) uptime 10.720 seconds
11923 [ActiveMQ ShutdownHook] INFO  org.apache.activemq.broker.BrokerService [] - Apache ActiveMQ 5.13.2 (localhost, ID:C208-17-50506-1461662564158-0:1) is shutdown
